Annee,,,,,,,,,,,,,,,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,2 026,,,2 027,2 028,2 029,2 030,,,,
Mois,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,
Trimestre,,,,,,,,,,,,,,,1,1,1,2,2,2,3,3,3,4,4,4,,,,,,,,,,
Semestre,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pourcentage variation Plan N+2,3,4,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budget d'Exploitation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,F,F
Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,,Cout Unitaire en USD Hors Taxe / Automatique,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe / Manuel,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2 027,2 028,2 029,2 030,Check Categorie,Check Unite de mesure,Check cout unitaire,ROW
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Autres,62630072_ Restauration Adoption cahier des charges,62630072,ETUDES,Restauration pendant la formation,,,0,Personne,30,,,,36,,,,,,,,,36,1 080,1 091,1 102,1 112,1 123, Ok , Ok , Ok ,  47 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Autres,62630072_ Restauration Adoption cahier des charges,62630072,ETUDES,Restauration pendant la formation,,,0,Personne,30,,,,,36,,,,,,,,36,1 080,1 091,1 102,1 112,1 123, Ok , Ok , Ok ,  48 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Autres,62630072_ Restauration Adoption cahier des charges,62630072,ETUDES,Restauration pendant la formation,,,0,Personne,30,,,,,,36,,,,,,,36,1 080,1 091,1 102,1 112,1 123, Ok , Ok , Ok ,  49 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de Division,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,450,,,4,,,,,,,,,,4,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  50 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de Division,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,450,,,,,,,4,,,,,,4,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  51 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de Division,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,450,,,,4,,,,,,,,,4,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  52 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de Division,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,450,,,,,4,,,,,,,,4,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  53 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de Division,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,450,,,,,,4,,,,,,,4,1 800,1 818,1 836,1 854,1 872, Ok , Ok , Ok ,  54 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Chef de bureau,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,350,,,4,,,,,,,,,,4,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  55 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Chef de bureau,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,350,,,,,,,4,,,,,,4,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  56 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Chef de bureau,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,350,,,,4,,,,,,,,,4,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  57 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Chef de bureau,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,350,,,,,4,,,,,,,,4,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  58 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Chef de bureau,64710015_ Per diem,64710015,ETUDES,Perdiem,,,0,Personne,350,,,,,,4,,,,,,,4,1 400,1 414,1 428,1 442,1 456, Ok , Ok , Ok ,  59 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Autres,62520040_ Transport de participant non résidents,62520040,ETUDES,Remboursement transports enqueteurs non residents,,,0,Personne,600,,,29,,,,,,,,,,29,17 400,17 574,17 748,17 922,18 096, Ok , Ok , Ok ,  60 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Uélé_Isiro,Oriental,A L'INTERIEUR,Autres,62520040_ Transport de participant non résidents,62520040,ETUDES,Remboursement transports enqueteurs non residents,,,0,Personne,300,,,,,,,29,,,,,,29,8 700,8 787,8 874,8 961,9 048, Ok , Ok , Ok ,  61 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Bas-Uélé_Buta,Oriental,A L'INTERIEUR,Autres,62520040_ Transport de participant non résidents,62520040,ETUDES,Remboursement transports enqueteurs non residents,,,0,Personne,400,,,,29,,,,,,,,,29,11 600,11 716,11 832,11 948,12 064, Ok , Ok , Ok ,  62 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Lualaba_Kolwezi,Lualaba,A L'INTERIEUR,Autres,62520040_ Transport de participant non résidents,62520040,ETUDES,Remboursement transports enqueteurs non residents,,,0,Personne,400,,,,,29,,,,,,,,29,11 600,11 716,11 832,11 948,12 064, Ok , Ok , Ok ,  63 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Haut-Lomami_Kamina,Haut-Katanga,A L'INTERIEUR,Autres,62520040_ Transport de participant non résidents,62520040,ETUDES,Remboursement transports enqueteurs non residents,,,0,Personne,400,,,,,,29,,,,,,,29,11 600,11 716,11 832,11 948,12 064, Ok , Ok , Ok ,  64 
ET.1.1.01,"ET.1.1.01 _ ETUDES _ Cartographie des violations _ Documentation, certification et qualification des violations et incidents _ 1. Formation  des enqueteurs aux chefs lieux des provinces pour la documentation",Tshopo_Kisangani,Oriental,A L'INTERIEUR,Autres,62510002_ Hébergement / Hôtel,62510002,ETUDES,Logement enqueteurs non résidents,,,0,Personne,280,,,29,,,,,,,,,,29,8 120,8 201,8 282,8 364,8 445, Ok , Ok , Ok ,  65 
