Cost Center,Description CC,Province & Ville,Coordinations provinciales,Local / Etranger ?,Catégorie / Grade,Nature Depenses,Account Ohada,Departement ,Texte / Libelle,,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31-janv.,28-févr.,31-mars,30-avr.,31-mai,30-juin,31-juil.,31-août,30-sept.,31-oct.,30-nov.,31-déc.,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,Check Categorie,Check Unite de mesure,Check cout unitaire,,CODE DEPARTEMENT,CODE ACTIVITE,CODE SOUS ACTIVITE,CODE TACHE
,,,,Ligne de depense,Direction,,,,Centre des couts ,Categories,Unite de Mesure des donnees mensuelles,Cout Unitaire en USD Hors Taxe,31/1/2025,28-Feb-26,31-Mar-26,30-Apr-26,31-May-26,30-Jun-26,31-Jul-26,31-Aug-26,30-Sep-26,31-Oct-26,30-Nov-26,31-Dec-26,Total en Unite de Mesure des donnees mensuelles,Total Budget en USD,2027,2028,2029,2030,,,,,,,,
ET.1.4.02,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 2. Authentification des élements matériels par des experts INMC,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,1,4,02
ET.1.4.03,ETUDES _ Cartographie des violations _ Levée des preuves et documentation auprès des communautés en RDC et  auprès des anciens belligérants _ 3. Etude sur les causes profondes des conflits armés et non armés en RDC,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,1,4,03
ET.1.5.01,ETUDES _ Cartographie des violations _ Prise de contact avec les services de documentation internationale _ 1. Prise de contact avec les MINAFET,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,1,5,01
ET.1.5.02,ETUDES _ Cartographie des violations _ Prise de contact avec les services de documentation internationale _ 2. Réunion de cadrage avec les représentations diplomatiques et Séances de travail  avec les services de documentation des départements des Affaires étrangères des pays concernés,,,,,,,,,,,,0,0,60 000,0,0,60 000,0,60 000,0,0,60 000,60 000,300 000,300 000,303 000,306 000,309 000,312 000,,,,,ET,1,5,02
ET.1.6.01,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 1. Sensibilisation des étudiants de 10 établissements de la RDC,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,1,6,01
ET.1.6.02,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 2.Mise en place du secretariat technique,,,,,,,,,,,,29 500,29 500,46 150,29 500,29 500,46 150,29 500,29 500,46 150,29 500,29 500,29 500,403 950,403 950,407 990,412 029,416 069,420 108,,,,,ET,1,6,02
ET.1.6.03,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 3. Subvention de recherches scientifiques,,,,,,,,,,,,0,0,1 000 000,0,0,0,0,0,192 500,0,0,0,1 192 500,1 192 500,1 204 425,1 216 350,1 228 275,1 240 200,,,,,ET,1,6,03
ET.1.6.04,ETUDES _ Cartographie des violations _ 'Mise en œuvre du programme de subvention de recherche sur les génocides commis en RDC _ 4. Publication scientifique par le secretariat technique,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,30 000,0,0,30 000,30 000,30 300,30 600,30 900,31 200,,,,,ET,1,6,04
ET.2.1.01,ETUDES _ Identification des victimes _ Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice _ Obtention de fiches de consentement et Identification des 2500 victimes détentrices d'une décision de justice,,,,,,,,,,,,0,0,0,0,81 440,70 640,0,0,0,0,0,0,152 080,152 080,153 601,155 122,156 642,158 163,,,,,ET,2,1,01
ET.2.2.01,"ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 1.Mission exploratoire technique, logistique, financier et sécuritaire",,,,,,,,,,,,0,0,0,0,0,0,0,0,65 360,1 600,0,0,66 960,66 960,67 630,68 299,68 969,69 638,,,,,ET,2,2,01
ET.2.2.02,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 2. Recrutement et test des 200 agents d'identification par province pour quatre mois de travail,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,26 560,0,26 560,26 560,26 826,27 091,27 357,27 622,,,,,ET,2,2,02
ET.2.2.03,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 3. Installation des CIV par province (Mois),,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,12 000,12 000,12 000,12 120,12 240,12 360,12 480,,,,,ET,2,2,03
ET.2.2.04,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 4. Formation des agents d'identification au chef-lieu des provinces,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,311 150,0,311 150,311 150,314 262,317 373,320 485,323 596,,,,,ET,2,2,04
ET.2.2.05,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 5. Enregistrement des récits sur le terrain par les enquêteurs locaux,,,,,,,,,,,,0,0,0,0,0,0,0,0,20 400,20 400,20 400,0,61 200,61 200,61 812,62 424,63 036,63 648,,,,,ET,2,2,05
ET.2.2.06,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 6. Mission de supervision des activités d'identification par les agents du FONAREV,,,,,,,,,,,,0,0,0,0,0,0,0,0,345 940,45 940,45 940,0,437 820,437 820,442 198,446 576,450 955,455 333,,,,,ET,2,2,06
ET.2.2.07,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ 7. Traitement des données,,,,,,,,,,,,176 000,203 000,179 000,182 000,182 000,149 300,146 800,143 800,140 800,140 800,140 800,0,1 784 300,1 784 300,1 802 143,1 819 986,1 837 829,1 855 672,,,,,ET,2,2,07
ET.2.2.08,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Test de cohérence des données (matching avec les incidents) via l'IA (abonnement),,,,,,,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,2 400,2 400,2 424,2 448,2 472,2 496,,,,,ET,2,2,08
ET.2.2.09,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Formation des enquêteurs locaux (125 par province),,,,,,,,,,,,0,43 410,43 410,43 410,47 410,42 000,42 600,0,0,0,0,0,262 240,262 240,264 862,267 485,270 107,272 730,,,,,ET,2,2,09
ET.2.2.10,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Deploiement et supervision,,,,,,,,,,,,0,1 009 270,1 009 270,1 009 270,1 009 270,1 009 270,1 009 270,0,0,0,0,0,6 055 620,6 055 620,6 116 176,6 176 732,6 237 289,6 297 845,,,,,ET,2,2,10
ET.2.2.11,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Organisation EPI/ Enquete de couverture,,,,,,,,,,,,0,152 600,152 600,152 600,152 600,152 600,152 600,0,0,0,0,0,915 600,915 600,924 756,933 912,943 068,952 224,,,,,ET,2,2,11
ET.2.2.12,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/ Validation interne de la LUC par un comité ad hoc,,,,,,,,,,,,0,0,98 625,0,0,0,0,98 625,0,0,0,0,197 250,197 250,199 223,201 195,203 168,205 140,,,,,ET,2,2,12
ET.2.2.13,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/ Cadrage méthodologique avec les TGI,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,2,13
ET.2.2.14,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Travaux intensifis du comité d'authentification,,,,,,,,,,,,0,0,212 375,0,212 375,0,0,212 375,0,0,0,0,637 125,637 125,643 496,649 868,656 239,662 610,,,,,ET,2,2,14
ET.2.2.15,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Travaux intensifs du comité d'homologation,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,2,15
ET.2.2.16,ETUDES _ Identification des victimes _ Identication 700.000 victimes ménages ordinaires _ Travaux de certification de la LUC/  Reprographie des cartes et notification par des CDD,,,,,,,,,,,,0,0,36 400,0,36 400,0,0,36 400,0,0,0,0,109 200,109 200,110 292,111 384,112 476,113 568,,,,,ET,2,2,16
ET.2.3.01,ETUDES _ Identification des victimes _ Poursuite de l'identification des victimes _ 1. Paiement des honoraires des agents d'identification,,,,,,,,,,,,0,2 246 400,2 246 400,0,0,0,0,0,0,0,0,0,4 492 800,4 492 800,4 537 728,4 582 656,4 627 584,4 672 512,,,,,ET,2,3,01
ET.2.3.02,ETUDES _ Identification des victimes _ Poursuite de l'identification des victimes _ 2.Mission Supervision du processus par les agents du FONAREV,,,,,,,,,,,,226 440,226 440,0,0,0,0,0,0,0,0,0,0,452 880,452 880,457 409,461 938,466 466,470 995,,,,,ET,2,3,02
ET.2.4.01,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 1. Mission exploratoire dans les camps des provinces concernées,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,01
ET.2.4.02,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 2. Formation des 400 agents d'identification,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,02
ET.2.4.03,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 3. Location et installation des 80 tentes faisant office des CIV,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,03
ET.2.4.04,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 4.Mise en place es mesures securitaires dans les camps,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,04
ET.2.4.05,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 5. Deploiement des equipes dans les camps,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,05
ET.2.4.06,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ 6. Mission de supervision,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,06
ET.2.4.07,ETUDES _ Identification des victimes _ Recensement et identification  des 300.000 déplacées-victimes  dans les camps _ Programme de retour volontaire,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,2,4,07
ET.3.1.01,"ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Catégorisation des communauté victimes _ identification, catégorisation des communautés en conflit en vue de la mise en oeuvre de l'observatoire des conflits en province",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,3,1,01
ET.3.1.02,"ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Catégorisation des communauté victimes _ Repertoire des communautés victimes (directes et indirectes), non victimes et des communautés bourreaux",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,ET,3,1,02
ET.3.2.01,ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Consultation sur le droit à la repartion _ 1. Formation  des enqueteurs aux  chefs lieux des provinces sur la conduite des conultations,,,,,,,,,,,,0,48 340,42 580,19 680,2 690,0,0,0,65 020,0,0,0,178 310,178 310,180 093,181 876,183 659,185 442,,,,,ET,3,2,01
ET.3.2.02,ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Consultation sur le droit à la repartion _ 2. Deploiement des enqueteurs sur terrain,,,,,,,,,,,,0,81 640,81 640,40 820,0,0,0,0,0,0,0,0,204 100,204 100,206 141,208 182,210 223,212 264,,,,,ET,3,2,02
ET.3.2.03,ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Consultation sur le droit à la repartion _ 3.Certification par la communauté à travers les focus group,,,,,,,,,,,,0,28 280,28 280,17 640,0,0,0,0,0,0,0,0,74 200,74 200,74 942,75 684,76 426,77 168,,,,,ET,3,2,03
ET.3.2.04,ETUDES _ Poursuivre les consultation des communautés sur le droit à la repartion _ Consultation sur le droit à la repartion _ 4. Mission de supervision par les agents du FONAREV,,,,,,,,,,,,0,289 800,0,0,0,0,0,0,0,0,0,0,289 800,289 800,292 698,295 596,298 494,301 392,,,,,ET,3,2,04
